sn,e,n,z,rem
209,963.478,1058.924,1306.305,B
210,1006.680,1043.739,1297.431,B
211,974.472,1064.831,1306.743,B
212,969.889,1060.040,1306.371,B
213,990.575,1054.616,1301.818,B
214,990.286,1056.530,1302.323,B
215,992.820,1059.106,1302.913,B
216,976.201,1062.812,1305.842,B
217,975.166,1065.008,1306.427,B
218,980.113,1061.656,1305.055,B
219,979.685,1066.645,1306.128,B
220,980.051,1058.755,1304.247,B
221,974.019,1057.998,1304.913,B
222,979.243,1054.419,1303.517,B
223,989.974,1052.720,1301.411,B
224,974.816,1052.213,1303.760,B
225,968.995,1055.761,1304.839,B
226,969.097,1051.176,1304.046,B
227,1000.445,1061.552,1302.586,B
228,997.125,1061.916,1302.903,B
229,1004.038,1060.842,1302.076,B
230,1000.707,1057.896,1301.551,B
231,1006.700,1062.205,1302.099,B
232,1003.839,1056.916,1300.803,B
233,1010.982,1062.032,1301.691,B
234,1005.616,1053.955,1299.629,B
235,1001.734,1054.188,1300.259,B
236,1006.696,1054.270,1299.707,B
237,1008.867,1054.964,1300.638,B
238,1009.308,1051.359,1298.723,B
239,1005.135,1031.974,1297.601,B
240,1006.927,1027.447,1298.268,B
241,1010.056,1026.402,1298.621,B
242,1011.086,1028.090,1297.119,B
243,1013.013,1025.304,1299.079,B
244,1009.859,1022.779,1299.467,B
245,1007.226,1017.849,1299.929,B
246,1015.924,1018.992,1300.751,B
247,1011.038,1019.780,1300.421,B
248,1012.898,1014.845,1301.509,B
249,1017.790,1011.593,1302.878,B
250,932.983,1062.794,1307.303,C
251,929.722,1060.279,1307.118,C
252,925.001,1056.289,1306.332,C
253,923.588,1053.692,1305.893,C
254,916.772,1046.515,1304.883,C
255,919.476,1044.493,1304.095,C
256,923.313,1042.425,1305.120,C
257,920.298,1039.393,1305.223,C
258,928.711,1050.453,1305.634,C
259,931.096,1066.878,1307.891,C
260,927.349,1069.058,1308.774,C
261,924.138,1070.922,1309.058,C
262,921.291,1071.560,1309.320,C
263,917.690,1073.284,1309.712,C
264,912.074,1074.896,1309.513,C
265,932.089,1068.624,1308.343,C
266,929.841,1071.735,1309.109,C
267,927.300,1073.938,1309.787,C
268,925.206,1076.834,1310.308,C
269,924.282,1078.504,1310.715,C
270,922.727,1079.862,1311.370,C
271,923.333,1079.483,1309.894,C
272,919.235,1079.387,1310.912,C
273,914.354,1083.442,1310.214,C
274,905.895,1078.947,1310.635,C
275,902.829,1080.285,1310.294,C
276,901.431,1079.236,1310.067,C
277,905.662,1072.126,1309.216,C
278,931.032,1065.919,1307.489,C
279,925.120,1061.390,1307.312,C
280,919.796,1058.789,1307.586,C
281,932.743,1063.594,1306.464,C
282,932.068,1057.664,1306.397,C
283,930.467,1053.733,1306.375,C
284,929.788,1052.984,1305.037,C
285,932.124,1054.408,1305.227,C
286,933.700,1055.854,1305.662,C
287,933.933,1055.678,1305.289,C
288,935.149,1054.592,1305.955,C
289,936.774,1055.571,1305.400,C
290,937.125,1057.898,1305.984,C
291,938.778,1054.753,1305.024,C
292,937.778,1060.233,1306.494,C
293,939.684,1059.758,1306.857,C
294,1038.421,1013.957,1300.931,D
295,1049.166,1037.842,1302.940,D
296,1047.500,1038.458,1302.581,D
297,1043.954,1035.537,1302.018,D
298,1042.285,1038.192,1301.711,D
299,1049.015,1034.046,1303.085,D
300,1041.749,1037.686,1301.570,D
301,1037.743,1036.107,1300.412,D
302,1032.198,1033.619,1299.003,D
303,1032.179,1028.715,1298.763,D
304,1032.723,1024.745,1298.724,D
305,1033.275,1021.821,1298.966,D
306,1036.126,1020.723,1300.160,D
307,1036.175,1017.820,1300.319,D
308,1035.121,1017.356,1298.475,D
309,1038.832,1017.756,1300.815,D
310,1032.445,1017.795,1298.942,D
311,1039.897,1016.160,1301.034,D
312,1032.146,1014.204,1299.261,D
313,1040.928,1013.996,1301.265,D
314,1042.601,1012.255,1301.626,D
315,1030.729,1009.070,1298.503,D
316,1044.180,1009.941,1301.910,D
317,1034.137,1011.236,1299.678,D
318,1036.927,1012.474,1299.640,D
319,1037.814,1013.219,1299.779,D
320,1046.279,1008.087,1302.253,D
321,1030.733,1005.039,1298.241,D
322,1030.020,1001.516,1298.938,D
323,1029.184,998.705,1297.702,D
324,1030.454,994.847,1297.735,D
325,1027.842,1001.978,1297.566,D
326,1028.116,1007.331,1297.823,D
327,1025.512,1007.014,1297.125,D
328,1024.419,1009.492,1298.423,D
329,1026.431,1011.728,1297.624,D
330,1028.818,1009.831,1298.158,D
331,1032.379,1011.881,1299.218,D
332,1034.341,1013.393,1299.614,D
333,1037.054,1015.192,1300.463,D
334,1036.546,1015.146,1300.068,D
335,1036.820,1016.144,1300.459,D
336,1043.736,1017.179,1301.853,D
337,1044.117,1012.825,1302.065,D
338,1046.557,1012.345,1302.543,D
339,1041.861,1018.768,1301.380,D
425,898.228,1028.761,1301.934,F
426,899.412,1029.484,1301.961,F
427,899.598,1030.249,1302.069,F
428,900.679,1030.497,1302.021,F
429,898.741,1032.810,1302.733,F
430,900.692,1031.591,1302.164,F
431,899.545,1034.515,1303.088,F
432,899.653,1034.885,1303.301,F
433,900.355,1032.304,1302.430,F
434,900.243,1035.687,1303.487,F
435,899.969,1032.845,1302.639,F
436,901.534,1036.406,1303.483,F
437,899.897,1033.595,1302.828,F
438,901.442,1037.546,1303.672,F
439,897.007,1034.087,1303.173,F
440,902.426,1036.584,1303.312,F
441,896.267,1033.534,1303.116,F
442,899.405,1038.408,1304.146,F
443,896.481,1033.077,1303.018,F
444,899.049,1039.354,1304.381,F
445,892.823,1037.567,1304.454,F
446,899.723,1043.776,1305.009,F
447,890.514,1030.863,1302.944,F
448,890.921,1028.072,1302.340,F
449,894.765,1021.912,1300.873,F
450,904.786,1041.287,1303.392,F
451,908.538,1040.495,1302.741,F
452,900.595,1020.944,1300.696,F
453,910.426,1042.755,1303.074,F
454,902.000,1016.239,1300.706,F
455,913.470,1044.385,1300.584,F
456,890.723,1017.610,1303.373,F
457,890.856,1008.235,1300.998,F
458,894.015,1044.859,1298.190,F
459,878.549,1008.217,1303.086,F
460,868.108,1002.425,1302.819,F
461,889.368,1051.735,1308.938,F
462,860.298,1001.414,1301.859,F
463,860.783,989.480,1303.842,F
464,890.891,1032.801,1303.386,F
465,860.496,983.720,1306.986,F
466,884.954,1031.255,1303.399,F
467,882.566,1031.765,1304.090,F
468,861.556,987.094,1305.530,F
469,857.279,986.947,1305.280,F
470,896.650,1028.291,1301.986,F
471,883.912,975.152,1304.405,F
472,895.469,1023.947,1300.841,F
473,882.512,977.056,1302.837,F
474,873.831,1009.014,1302.021,F
475,881.329,1018.146,1300.311,F
476,911.037,1014.569,1300.337,F
477,910.974,1012.645,1300.308,F
478,907.954,1014.443,1300.452,F
479,906.655,1016.164,1300.665,F
480,906.405,1013.130,1300.598,F
481,906.892,1009.634,1300.530,F
482,910.174,1002.709,1301.393,F
483,913.935,997.748,1302.825,F
484,913.037,1000.140,1301.958,F
485,892.341,1015.224,1302.947,F
486,877.744,1025.858,1303.202,F
340,915.582,996.277,1303.664,E
341,915.258,999.227,1303.171,E
342,920.689,994.103,1303.957,E
343,915.081,995.952,1302.388,E
344,923.547,994.958,1303.508,E
345,926.220,995.836,1303.191,E
346,929.627,996.951,1303.007,E
347,932.072,997.954,1302.857,E
348,937.046,1000.343,1303.410,E
349,940.952,1001.341,1302.918,E
350,912.006,1004.387,1301.684,E
351,911.350,1007.876,1301.023,E
352,906.849,1011.918,1301.167,E
353,912.354,1010.430,1301.591,E
354,910.180,1010.852,1301.592,E
355,919.727,999.866,1303.001,E
356,918.953,998.582,1303.280,E
357,917.538,1000.363,1303.028,E
358,920.412,1002.149,1302.137,E
359,920.956,1004.597,1301.824,E
360,919.858,1005.203,1301.789,E
361,922.135,1005.178,1301.670,E
362,922.795,1003.524,1301.783,E
363,923.679,1006.284,1301.181,E
364,923.781,1010.812,1300.807,E
365,922.891,1008.899,1300.748,E
366,926.254,1012.812,1300.649,E
367,928.461,1016.533,1300.439,E
368,928.727,1019.915,1300.398,E
369,930.792,1021.087,1300.332,E
370,932.968,1023.224,1300.202,E
371,938.026,1015.631,1300.286,E
372,911.830,994.949,1303.473,E
373,909.576,996.108,1303.357,E
374,907.563,997.484,1302.514,E
375,904.881,997.559,1301.893,E
376,901.593,997.780,1302.335,E
377,912.396,990.974,1304.505,E
378,909.296,989.359,1304.817,E
379,905.205,987.404,1303.568,E
380,900.990,986.560,1304.359,E
381,896.172,985.069,1305.106,E
382,893.120,983.103,1306.206,E
383,913.254,990.354,1304.638,E
384,911.727,987.682,1305.133,E
385,910.381,985.042,1305.681,E
386,907.384,982.443,1305.852,E
387,905.145,980.422,1305.492,E
388,903.646,978.806,1306.539,E
389,901.910,975.520,1307.911,E
390,914.703,989.818,1305.329,E
391,914.265,987.282,1305.714,E
392,914.674,984.684,1306.412,E
393,913.833,982.179,1306.421,E
394,912.172,979.630,1307.676,E
395,917.047,990.060,1305.309,E
